Frequency,Sector,Product name
1.9099 - 1.9149 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
1.9149 - 1.92 GHz,Mobile and Wireless broadband,Spectrum Access Hutchison 3G
1.92 - 1.9349 GHz,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink)
1.9349 - 1.9449 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink)
1.9449 - 1.9597 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink)
1.9597 - 1.9797 GHz,Mobile and Wireless broadband,Spectrum Access EE (Uplink)
2.1103 - 2.1249 GHz,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink)
2.1249 - 2.1349 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink)
2.1349 - 2.1497 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink)
2.1497 - 2.1697 GHz,Mobile and Wireless broadband,Spectrum Access EE (Downlink)
2.35 - 2.39 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
2.39 - 2.4 GHz,Mobile and Wireless broadband,Shared Access (Low Power)
2.39 - 2.4 GHz,Mobile and Wireless broadband,Shared Access (Medium Power)
2.5 - 2.52 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink)
2.52 - 2.535 GHz,Mobile and Wireless broadband,Spectrum Access EE (Uplink)
2.535 - 2.57 GHz,Mobile and Wireless broadband,Spectrum Access EE (Uplink)
2.57 - 2.595 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone
2.595 - 2.62 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
2.62 - 2.64 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink)
2.64 - 2.655 GHz,Mobile and Wireless broadband,Spectrum Access EE (Downlink)
2.655 - 2.69 GHz,Mobile and Wireless broadband,Spectrum Access EE (Downlink)
3.41 - 3.46 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone
3.46 - 3.48 GHz,Mobile and Wireless broadband,Spectrum Access Hutchison 3G
3.48 - 3.5 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband
3.5 - 3.54 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
3.54 - 3.58 GHz,Mobile and Wireless broadband,Spectrum Access EE
3.58 - 3.6 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband
3.6 - 3.68 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband
3.68 - 3.72 GHz,Mobile and Wireless broadband,Spectrum Access EE
3.68 - 3.8 GHz,Mobile and Wireless Broadband,Spectrum Access (3.6-3.8 MHz)
3.72 - 3.76 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
3.72 - 3.76 GHz,Mobile and Wireless broadband,Spectrum Access Vodafone
3.76 - 3.8 GHz,Mobile and Wireless broadband,Spectrum Access Telefonica
3.8 - 4.2 GHz,Mobile and Wireless broadband,Shared Access (Low Power)
3.8 - 4.2 GHz,Mobile and Wireless broadband,Shared Access (Medium Power)
3.925 - 4.009 GHz,Mobile and Wireless broadband,Spectrum Access UK Broadband
5.725 - 5.85 GHz,Mobile and Wireless broadband,Fixed Wireless Access (5.8 GHz band)
